"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"1999","1999","Renal failure","N17-N19","Female","F",28952,142237295,20.4,18.0,1.5%
,"1999","1999","Renal failure","N17-N19","Male","M",30887,136802873,22.6,28.4,1.6%
"Total","1999","1999","Renal failure","N17-N19",,,59839,279040168,21.4,21.9,3.1%
"Total","1999","1999",,,,,59839,279040168,21.4,21.9,3.1%
,"2000","2000","Renal failure","N17-N19","Female","F",30594,143368343,21.3,18.7,1.6%
,"2000","2000","Renal failure","N17-N19","Male","M",32011,138053563,23.2,29.3,1.7%
"Total","2000","2000","Renal failure","N17-N19",,,62605,281421906,22.2,22.6,3.2%
"Total","2000","2000",,,,,62605,281421906,22.2,22.6,3.2%
,"2001","2001","Renal failure","N17-N19","Female","F",32035,145077463,22.1,19.3,1.7%
,"2001","2001","Renal failure","N17-N19","Male","M",33668,139891492,24.1,30.1,1.7%
"Total","2001","2001","Renal failure","N17-N19",,,65703,284968955,23.1,23.4,3.4%
"Total","2001","2001",,,,,65703,284968955,23.1,23.4,3.4%
,"2002","2002","Renal failure","N17-N19","Female","F",33151,146394634,22.6,19.7,1.7%
,"2002","2002","Renal failure","N17-N19","Male","M",35359,141230559,25.0,31.2,1.8%
"Total","2002","2002","Renal failure","N17-N19",,,68510,287625193,23.8,24.0,3.5%
"Total","2002","2002",,,,,68510,287625193,23.8,24.0,3.5%
,"2003","2003","Renal failure","N17-N19","Female","F",34464,147679036,23.3,20.2,1.8%
,"2003","2003","Renal failure","N17-N19","Male","M",37464,142428897,26.3,32.3,1.9%
"Total","2003","2003","Renal failure","N17-N19",,,71928,290107933,24.8,24.8,3.7%
"Total","2003","2003",,,,,71928,290107933,24.8,24.8,3.7%
,"2004","2004","Renal failure","N17-N19","Female","F",35037,148977286,23.5,20.2,1.8%
,"2004","2004","Renal failure","N17-N19","Male","M",38154,143828012,26.5,32.3,2.0%
"Total","2004","2004","Renal failure","N17-N19",,,73191,292805298,25.0,24.8,3.8%
"Total","2004","2004",,,,,73191,292805298,25.0,24.8,3.8%
,"2005","2005","Renal failure","N17-N19","Female","F",35889,150319521,23.9,20.3,1.9%
,"2005","2005","Renal failure","N17-N19","Male","M",39359,145197078,27.1,32.7,2.0%
