"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Sunday","1","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Monday","2","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Tuesday","3","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Wednesday","4","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Thursday","5","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Friday","6","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01","Saturday","7","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Sunday","1","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Monday","2","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Tuesday","3","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Thursday","5","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Friday","6","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02","Saturday","7","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03","Sunday","1","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03","Monday","2","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
