"state","week_end_date","mmwr_week_code","ckd_deaths","i99_deaths","deaths_diff","year","week","tmean_C_weekly","n_days_weather"
"Alabama",2018-01-06,"2018/01",34,17,17,2018,1,0.0285714285714285,7
"Alabama",2018-01-13,"2018/02",32,19,13,2018,2,9.77142857142857,7
"Alabama",2018-01-20,"2018/03",30,17,13,2018,3,1.28571428571429,7
"Alabama",2018-01-27,"2018/04",32,16,16,2018,4,10.1,7
"Alabama",2018-02-03,"2018/05",24,17,7,2018,5,9.02857142857143,7
"Alabama",2018-02-10,"2018/06",39,24,15,2018,6,12.5,7
"Alabama",2018-02-24,"2018/08",38,26,12,2018,8,20.5285714285714,7
"Alabama",2018-03-03,"2018/09",25,15,10,2018,9,15.5714285714286,7
"Alabama",2018-03-10,"2018/10",29,20,9,2018,10,11.7142857142857,7
"Alabama",2018-03-17,"2018/11",30,14,16,2018,11,11.5857142857143,7
"Alabama",2018-03-24,"2018/12",27,18,9,2018,12,14.8142857142857,7
"Alabama",2018-03-31,"2018/13",27,18,9,2018,13,16.4571428571429,7
"Alabama",2018-04-07,"2018/14",24,17,7,2018,14,16.5857142857143,7
"Alabama",2018-04-14,"2018/15",26,17,9,2018,15,16.4857142857143,7
"Alabama",2018-04-21,"2018/16",39,16,23,2018,16,14.9571428571429,7
"Alabama",2018-04-28,"2018/17",21,14,7,2018,17,17.1142857142857,7
"Alabama",2018-05-05,"2018/18",29,22,7,2018,18,20.1571428571429,7
"Alabama",2018-05-12,"2018/19",22,11,11,2018,19,23.1428571428571,7
"Alabama",2018-05-19,"2018/20",30,15,15,2018,20,25.7142857142857,7
"Alabama",2018-05-26,"2018/21",37,20,17,2018,21,24.2,7
"Alabama",2018-06-02,"2018/22",26,18,8,2018,22,24.7428571428571,7
"Alabama",2018-06-09,"2018/23",27,13,14,2018,23,25.4,7
"Alabama",2018-06-16,"2018/24",33,19,14,2018,24,25.4285714285714,7
"Alabama",2018-06-23,"2018/25",34,21,13,2018,25,27.9285714285714,7
"Alabama",2018-06-30,"2018/26",22,16,6,2018,26,28.6571428571429,7
"Alabama",2018-07-07,"2018/27",22,12,10,2018,27,28.8285714285714,7
"Alabama",2018-07-14,"2018/28",24,12,12,2018,28,29.1285714285714,7
"Alabama",2018-07-21,"2018/29",39,21,18,2018,29,27.6285714285714,7
"Alabama",2018-07-28,"2018/30",26,13,13,2018,30,28.4428571428571,7
"Alabama",2018-08-04,"2018/31",26,12,14,2018,31,26.1142857142857,7
"Alabama",2018-08-11,"2018/32",32,19,13,2018,32,27.3857142857143,7
"Alabama",2018-08-18,"2018/33",28,19,9,2018,33,27.6,7
"Alabama",2018-08-25,"2018/34",30,23,7,2018,34,26.0142857142857,7
"Alabama",2018-09-08,"2018/36",22,14,8,2018,36,27.8571428571429,7
"Alabama",2018-09-22,"2018/38",39,14,25,2018,38,29.9,7
"Alabama",2018-09-29,"2018/39",23,14,9,2018,39,25.9714285714286,7
"Alabama",2018-10-06,"2018/40",20,12,8,2018,40,26.8428571428571,7
"Alabama",2018-10-13,"2018/41",20,10,10,2018,41,24.0142857142857,7
"Alabama",2018-10-20,"2018/42",45,28,17,2018,42,22.6,7
"Alabama",2018-10-27,"2018/43",23,14,9,2018,43,15.8,7
"Alabama",2018-11-03,"2018/44",26,17,9,2018,44,17.3428571428571,7
"Alabama",2018-11-10,"2018/45",37,24,13,2018,45,16.9285714285714,7
"Alabama",2018-11-17,"2018/46",44,24,20,2018,46,8.81428571428571,7
"Alabama",2018-11-24,"2018/47",31,20,11,2018,47,10.4142857142857,7
"Alabama",2018-12-01,"2018/48",21,11,10,2018,48,10.5571428571429,7
"Alabama",2018-12-08,"2018/49",30,20,10,2018,49,8.92857142857143,7
"Alabama",2018-12-15,"2018/50",31,21,10,2018,50,8.81428571428571,7
"Alabama",2018-12-22,"2018/51",45,28,17,2018,51,9.4,7
"Alabama",2018-12-29,"2018/52",33,23,10,2018,52,12.1428571428571,7
"Alabama",2019-01-05,"2019/01",40,23,17,2019,1,15.5571428571429,7
