"state","residence_state_code","mmwr_week","mmwr_week_code","year","week","week_end_date","icd_chapter","icd_chapter_code","deaths","tmean_C_weekly","n_days_weather"
"Alabama","01","2018 Week 01 ending January 06, 2018","2018/01",2018,1,2018-01-06,"Diseases of the genitourinary system","N00-N99",17,0.0285714285714285,7
"Alabama","01","2018 Week 02 ending January 13, 2018","2018/02",2018,2,2018-01-13,"Diseases of the genitourinary system","N00-N99",19,9.77142857142857,7
"Alabama","01","2018 Week 03 ending January 20, 2018","2018/03",2018,3,2018-01-20,"Diseases of the genitourinary system","N00-N99",17,1.28571428571429,7
"Alabama","01","2018 Week 04 ending January 27, 2018","2018/04",2018,4,2018-01-27,"Diseases of the genitourinary system","N00-N99",16,10.1,7
"Alabama","01","2018 Week 05 ending February 03, 2018","2018/05",2018,5,2018-02-03,"Diseases of the genitourinary system","N00-N99",17,9.02857142857143,7
"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06",2018,6,2018-02-10,"Diseases of the genitourinary system","N00-N99",24,12.5,7
"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08",2018,8,2018-02-24,"Diseases of the genitourinary system","N00-N99",26,20.5285714285714,7
"Alabama","01","2018 Week 09 ending March 03, 2018","2018/09",2018,9,2018-03-03,"Diseases of the genitourinary system","N00-N99",15,15.5714285714286,7
"Alabama","01","2018 Week 10 ending March 10, 2018","2018/10",2018,10,2018-03-10,"Diseases of the genitourinary system","N00-N99",20,11.7142857142857,7
"Alabama","01","2018 Week 11 ending March 17, 2018","2018/11",2018,11,2018-03-17,"Diseases of the genitourinary system","N00-N99",14,11.5857142857143,7
"Alabama","01","2018 Week 12 ending March 24, 2018","2018/12",2018,12,2018-03-24,"Diseases of the genitourinary system","N00-N99",18,14.8142857142857,7
"Alabama","01","2018 Week 13 ending March 31, 2018","2018/13",2018,13,2018-03-31,"Diseases of the genitourinary system","N00-N99",18,16.4571428571429,7
"Alabama","01","2018 Week 14 ending April 07, 2018","2018/14",2018,14,2018-04-07,"Diseases of the genitourinary system","N00-N99",17,16.5857142857143,7
"Alabama","01","2018 Week 15 ending April 14, 2018","2018/15",2018,15,2018-04-14,"Diseases of the genitourinary system","N00-N99",17,16.4857142857143,7
"Alabama","01","2018 Week 16 ending April 21, 2018","2018/16",2018,16,2018-04-21,"Diseases of the genitourinary system","N00-N99",16,14.9571428571429,7
"Alabama","01","2018 Week 17 ending April 28, 2018","2018/17",2018,17,2018-04-28,"Diseases of the genitourinary system","N00-N99",14,17.1142857142857,7
"Alabama","01","2018 Week 18 ending May 05, 2018","2018/18",2018,18,2018-05-05,"Diseases of the genitourinary system","N00-N99",22,20.1571428571429,7
"Alabama","01","2018 Week 19 ending May 12, 2018","2018/19",2018,19,2018-05-12,"Diseases of the genitourinary system","N00-N99",11,23.1428571428571,7
"Alabama","01","2018 Week 20 ending May 19, 2018","2018/20",2018,20,2018-05-19,"Diseases of the genitourinary system","N00-N99",15,25.7142857142857,7
"Alabama","01","2018 Week 21 ending May 26, 2018","2018/21",2018,21,2018-05-26,"Diseases of the genitourinary system","N00-N99",20,24.2,7
"Alabama","01","2018 Week 22 ending June 02, 2018","2018/22",2018,22,2018-06-02,"Diseases of the genitourinary system","N00-N99",18,24.7428571428571,7
"Alabama","01","2018 Week 23 ending June 09, 2018","2018/23",2018,23,2018-06-09,"Diseases of the genitourinary system","N00-N99",13,25.4,7
"Alabama","01","2018 Week 24 ending June 16, 2018","2018/24",2018,24,2018-06-16,"Diseases of the genitourinary system","N00-N99",19,25.4285714285714,7
"Alabama","01","2018 Week 25 ending June 23, 2018","2018/25",2018,25,2018-06-23,"Diseases of the genitourinary system","N00-N99",21,27.9285714285714,7
"Alabama","01","2018 Week 26 ending June 30, 2018","2018/26",2018,26,2018-06-30,"Diseases of the genitourinary system","N00-N99",16,28.6571428571429,7
"Alabama","01","2018 Week 27 ending July 07, 2018","2018/27",2018,27,2018-07-07,"Diseases of the genitourinary system","N00-N99",12,28.8285714285714,7
"Alabama","01","2018 Week 28 ending July 14, 2018","2018/28",2018,28,2018-07-14,"Diseases of the genitourinary system","N00-N99",12,29.1285714285714,7
"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29",2018,29,2018-07-21,"Diseases of the genitourinary system","N00-N99",21,27.6285714285714,7
"Alabama","01","2018 Week 30 ending July 28, 2018","2018/30",2018,30,2018-07-28,"Diseases of the genitourinary system","N00-N99",13,28.4428571428571,7
"Alabama","01","2018 Week 31 ending August 04, 2018","2018/31",2018,31,2018-08-04,"Diseases of the genitourinary system","N00-N99",12,26.1142857142857,7
"Alabama","01","2018 Week 32 ending August 11, 2018","2018/32",2018,32,2018-08-11,"Diseases of the genitourinary system","N00-N99",19,27.3857142857143,7
"Alabama","01","2018 Week 33 ending August 18, 2018","2018/33",2018,33,2018-08-18,"Diseases of the genitourinary system","N00-N99",19,27.6,7
"Alabama","01","2018 Week 34 ending August 25, 2018","2018/34",2018,34,2018-08-25,"Diseases of the genitourinary system","N00-N99",23,26.0142857142857,7
"Alabama","01","2018 Week 36 ending September 08, 2018","2018/36",2018,36,2018-09-08,"Diseases of the genitourinary system","N00-N99",14,27.8571428571429,7
"Alabama","01","2018 Week 38 ending September 22, 2018","2018/38",2018,38,2018-09-22,"Diseases of the genitourinary system","N00-N99",14,29.9,7
"Alabama","01","2018 Week 39 ending September 29, 2018","2018/39",2018,39,2018-09-29,"Diseases of the genitourinary system","N00-N99",14,25.9714285714286,7
"Alabama","01","2018 Week 40 ending October 06, 2018","2018/40",2018,40,2018-10-06,"Diseases of the genitourinary system","N00-N99",12,26.8428571428571,7
"Alabama","01","2018 Week 41 ending October 13, 2018","2018/41",2018,41,2018-10-13,"Diseases of the genitourinary system","N00-N99",10,24.0142857142857,7
"Alabama","01","2018 Week 42 ending October 20, 2018","2018/42",2018,42,2018-10-20,"Diseases of the genitourinary system","N00-N99",28,22.6,7
"Alabama","01","2018 Week 43 ending October 27, 2018","2018/43",2018,43,2018-10-27,"Diseases of the genitourinary system","N00-N99",14,15.8,7
"Alabama","01","2018 Week 44 ending November 03, 2018","2018/44",2018,44,2018-11-03,"Diseases of the genitourinary system","N00-N99",17,17.3428571428571,7
"Alabama","01","2018 Week 45 ending November 10, 2018","2018/45",2018,45,2018-11-10,"Diseases of the genitourinary system","N00-N99",24,16.9285714285714,7
"Alabama","01","2018 Week 46 ending November 17, 2018","2018/46",2018,46,2018-11-17,"Diseases of the genitourinary system","N00-N99",24,8.81428571428571,7
"Alabama","01","2018 Week 47 ending November 24, 2018","2018/47",2018,47,2018-11-24,"Diseases of the genitourinary system","N00-N99",20,10.4142857142857,7
"Alabama","01","2018 Week 48 ending December 01, 2018","2018/48",2018,48,2018-12-01,"Diseases of the genitourinary system","N00-N99",11,10.5571428571429,7
"Alabama","01","2018 Week 49 ending December 08, 2018","2018/49",2018,49,2018-12-08,"Diseases of the genitourinary system","N00-N99",20,8.92857142857143,7
"Alabama","01","2018 Week 50 ending December 15, 2018","2018/50",2018,50,2018-12-15,"Diseases of the genitourinary system","N00-N99",21,8.81428571428571,7
"Alabama","01","2018 Week 51 ending December 22, 2018","2018/51",2018,51,2018-12-22,"Diseases of the genitourinary system","N00-N99",28,9.4,7
"Alabama","01","2018 Week 52 ending December 29, 2018","2018/52",2018,52,2018-12-29,"Diseases of the genitourinary system","N00-N99",23,12.1428571428571,7
"Alabama","01","2019 Week 01 ending January 05, 2019","2019/01",2019,1,2019-01-05,"Diseases of the genitourinary system","N00-N99",23,15.5571428571429,7
"Alabama","01","2019 Week 02 ending January 12, 2019","2019/02",2019,2,2019-01-12,"Diseases of the genitourinary system","N00-N99",13,9.94285714285714,7
"Alabama","01","2019 Week 03 ending January 19, 2019","2019/03",2019,3,2019-01-19,"Diseases of the genitourinary system","N00-N99",26,9.12857142857143,7
"Alabama","01","2019 Week 04 ending January 26, 2019","2019/04",2019,4,2019-01-26,"Diseases of the genitourinary system","N00-N99",17,6.28571428571429,7
"Alabama","01","2019 Week 05 ending February 02, 2019","2019/05",2019,5,2019-02-02,"Diseases of the genitourinary system","N00-N99",25,6.74285714285714,7
"Alabama","01","2019 Week 06 ending February 09, 2019","2019/06",2019,6,2019-02-09,"Diseases of the genitourinary system","N00-N99",24,15.5285714285714,7
"Alabama","01","2019 Week 07 ending February 16, 2019","2019/07",2019,7,2019-02-16,"Diseases of the genitourinary system","N00-N99",20,13.3857142857143,7
"Alabama","01","2019 Week 08 ending February 23, 2019","2019/08",2019,8,2019-02-23,"Diseases of the genitourinary system","N00-N99",24,17.3285714285714,7
"Alabama","01","2019 Week 09 ending March 02, 2019","2019/09",2019,9,2019-03-02,"Diseases of the genitourinary system","N00-N99",28,15.5285714285714,7
"Alabama","01","2019 Week 10 ending March 09, 2019","2019/10",2019,10,2019-03-09,"Diseases of the genitourinary system","N00-N99",18,9.92857142857143,7
"Alabama","01","2019 Week 11 ending March 16, 2019","2019/11",2019,11,2019-03-16,"Diseases of the genitourinary system","N00-N99",15,16.5428571428571,7
"Alabama","01","2019 Week 12 ending March 23, 2019","2019/12",2019,12,2019-03-23,"Diseases of the genitourinary system","N00-N99",22,11.5571428571429,7
"Alabama","01","2019 Week 13 ending March 30, 2019","2019/13",2019,13,2019-03-30,"Diseases of the genitourinary system","N00-N99",11,15.1285714285714,7
"Alabama","01","2019 Week 14 ending April 06, 2019","2019/14",2019,14,2019-04-06,"Diseases of the genitourinary system","N00-N99",21,14.9571428571429,7
"Alabama","01","2019 Week 15 ending April 13, 2019","2019/15",2019,15,2019-04-13,"Diseases of the genitourinary system","N00-N99",17,21.5285714285714,7
"Alabama","01","2019 Week 16 ending April 20, 2019","2019/16",2019,16,2019-04-20,"Diseases of the genitourinary system","N00-N99",15,17.0571428571429,7
"Alabama","01","2019 Week 17 ending April 27, 2019","2019/17",2019,17,2019-04-27,"Diseases of the genitourinary system","N00-N99",21,18.6,7
"Alabama","01","2019 Week 18 ending May 04, 2019","2019/18",2019,18,2019-05-04,"Diseases of the genitourinary system","N00-N99",14,23.1428571428571,7
"Alabama","01","2019 Week 19 ending May 11, 2019","2019/19",2019,19,2019-05-11,"Diseases of the genitourinary system","N00-N99",12,22.8428571428571,7
"Alabama","01","2019 Week 20 ending May 18, 2019","2019/20",2019,20,2019-05-18,"Diseases of the genitourinary system","N00-N99",17,21.5714285714286,7
"Alabama","01","2019 Week 21 ending May 25, 2019","2019/21",2019,21,2019-05-25,"Diseases of the genitourinary system","N00-N99",16,26.7142857142857,7
"Alabama","01","2019 Week 22 ending June 01, 2019","2019/22",2019,22,2019-06-01,"Diseases of the genitourinary system","N00-N99",17,28.2285714285714,7
"Alabama","01","2019 Week 23 ending June 08, 2019","2019/23",2019,23,2019-06-08,"Diseases of the genitourinary system","N00-N99",18,26.5142857142857,7
"Alabama","01","2019 Week 24 ending June 15, 2019","2019/24",2019,24,2019-06-15,"Diseases of the genitourinary system","N00-N99",17,24.2142857142857,7
"Alabama","01","2019 Week 25 ending June 22, 2019","2019/25",2019,25,2019-06-22,"Diseases of the genitourinary system","N00-N99",26,26.7571428571429,7
"Alabama","01","2019 Week 26 ending June 29, 2019","2019/26",2019,26,2019-06-29,"Diseases of the genitourinary system","N00-N99",17,28,7
"Alabama","01","2019 Week 27 ending July 06, 2019","2019/27",2019,27,2019-07-06,"Diseases of the genitourinary system","N00-N99",14,29,7
"Alabama","01","2019 Week 28 ending July 13, 2019","2019/28",2019,28,2019-07-13,"Diseases of the genitourinary system","N00-N99",26,28.4428571428571,7
"Alabama","01","2019 Week 29 ending July 20, 2019","2019/29",2019,29,2019-07-20,"Diseases of the genitourinary system","N00-N99",19,27.9714285714286,7
"Alabama","01","2019 Week 30 ending July 27, 2019","2019/30",2019,30,2019-07-27,"Diseases of the genitourinary system","N00-N99",16,26.8571428571429,7
"Alabama","01","2019 Week 31 ending August 03, 2019","2019/31",2019,31,2019-08-03,"Diseases of the genitourinary system","N00-N99",18,28,7
"Alabama","01","2019 Week 32 ending August 10, 2019","2019/32",2019,32,2019-08-10,"Diseases of the genitourinary system","N00-N99",17,28.3142857142857,7
"Alabama","01","2019 Week 33 ending August 17, 2019","2019/33",2019,33,2019-08-17,"Diseases of the genitourinary system","N00-N99",20,30.7142857142857,7
"Alabama","01","2019 Week 35 ending August 31, 2019","2019/35",2019,35,2019-08-31,"Diseases of the genitourinary system","N00-N99",15,25.6142857142857,7
"Alabama","01","2019 Week 36 ending September 07, 2019","2019/36",2019,36,2019-09-07,"Diseases of the genitourinary system","N00-N99",19,28.1428571428571,7
"Alabama","01","2019 Week 37 ending September 14, 2019","2019/37",2019,37,2019-09-14,"Diseases of the genitourinary system","N00-N99",12,29.3571428571429,7
"Alabama","01","2019 Week 38 ending September 21, 2019","2019/38",2019,38,2019-09-21,"Diseases of the genitourinary system","N00-N99",15,27.9428571428571,7
"Alabama","01","2019 Week 39 ending September 28, 2019","2019/39",2019,39,2019-09-28,"Diseases of the genitourinary system","N00-N99",19,28.4428571428571,7
"Alabama","01","2019 Week 40 ending October 05, 2019","2019/40",2019,40,2019-10-05,"Diseases of the genitourinary system","N00-N99",16,29.9714285714286,7
"Alabama","01","2019 Week 41 ending October 12, 2019","2019/41",2019,41,2019-10-12,"Diseases of the genitourinary system","N00-N99",12,24.8571428571429,7
"Alabama","01","2019 Week 42 ending October 19, 2019","2019/42",2019,42,2019-10-19,"Diseases of the genitourinary system","N00-N99",18,18.3285714285714,7
"Alabama","01","2019 Week 43 ending October 26, 2019","2019/43",2019,43,2019-10-26,"Diseases of the genitourinary system","N00-N99",18,19.0857142857143,7
"Alabama","01","2019 Week 44 ending November 02, 2019","2019/44",2019,44,2019-11-02,"Diseases of the genitourinary system","N00-N99",22,15.3142857142857,7
"Alabama","01","2019 Week 45 ending November 09, 2019","2019/45",2019,45,2019-11-09,"Diseases of the genitourinary system","N00-N99",22,14.0714285714286,7
"Alabama","01","2019 Week 46 ending November 16, 2019","2019/46",2019,46,2019-11-16,"Diseases of the genitourinary system","N00-N99",20,8.11428571428571,7
"Alabama","01","2019 Week 47 ending November 23, 2019","2019/47",2019,47,2019-11-23,"Diseases of the genitourinary system","N00-N99",20,12.6285714285714,7
"Alabama","01","2019 Week 48 ending November 30, 2019","2019/48",2019,48,2019-11-30,"Diseases of the genitourinary system","N00-N99",18,13.6428571428571,7
"Alabama","01","2019 Week 49 ending December 07, 2019","2019/49",2019,49,2019-12-07,"Diseases of the genitourinary system","N00-N99",16,10.1285714285714,7
"Alabama","01","2019 Week 50 ending December 14, 2019","2019/50",2019,50,2019-12-14,"Diseases of the genitourinary system","N00-N99",25,11.8142857142857,7
"Alabama","01","2019 Week 52 ending December 28, 2019","2019/52",2019,52,2019-12-28,"Diseases of the genitourinary system","N00-N99",12,14.0571428571429,7
"Alabama","01","2020 Week 01 ending January 04, 2020","2020/01",2020,1,2020-01-04,"Diseases of the genitourinary system","N00-N99",17,13.6142857142857,7
"Alabama","01","2020 Week 02 ending January 11, 2020","2020/02",2020,2,2020-01-11,"Diseases of the genitourinary system","N00-N99",17,12.2142857142857,7
"Alabama","01","2020 Week 03 ending January 18, 2020","2020/03",2020,3,2020-01-18,"Diseases of the genitourinary system","N00-N99",20,16.5857142857143,7
"Alabama","01","2020 Week 04 ending January 25, 2020","2020/04",2020,4,2020-01-25,"Diseases of the genitourinary system","N00-N99",25,5.81428571428571,7
"Alabama","01","2020 Week 05 ending February 01, 2020","2020/05",2020,5,2020-02-01,"Diseases of the genitourinary system","N00-N99",17,8.92857142857143,7
"Alabama","01","2020 Week 06 ending February 08, 2020","2020/06",2020,6,2020-02-08,"Diseases of the genitourinary system","N00-N99",19,12.6571428571429,7
"Alabama","01","2020 Week 07 ending February 15, 2020","2020/07",2020,7,2020-02-15,"Diseases of the genitourinary system","N00-N99",10,13.7285714285714,7
"Alabama","01","2020 Week 09 ending February 29, 2020","2020/09",2020,9,2020-02-29,"Diseases of the genitourinary system","N00-N99",13,9.88571428571429,7
"Alabama","01","2020 Week 10 ending March 07, 2020","2020/10",2020,10,2020-03-07,"Diseases of the genitourinary system","N00-N99",24,13.2714285714286,7
"Alabama","01","2020 Week 11 ending March 14, 2020","2020/11",2020,11,2020-03-14,"Diseases of the genitourinary system","N00-N99",24,17.3142857142857,7
"Alabama","01","2020 Week 12 ending March 21, 2020","2020/12",2020,12,2020-03-21,"Diseases of the genitourinary system","N00-N99",14,20.8857142857143,7
"Alabama","01","2020 Week 13 ending March 28, 2020","2020/13",2020,13,2020-03-28,"Diseases of the genitourinary system","N00-N99",19,21.1714285714286,7
"Alabama","01","2020 Week 14 ending April 04, 2020","2020/14",2020,14,2020-04-04,"Diseases of the genitourinary system","N00-N99",14,17.7,7
"Alabama","01","2020 Week 15 ending April 11, 2020","2020/15",2020,15,2020-04-11,"Diseases of the genitourinary system","N00-N99",23,20.5142857142857,7
"Alabama","01","2020 Week 16 ending April 18, 2020","2020/16",2020,16,2020-04-18,"Diseases of the genitourinary system","N00-N99",11,17.6142857142857,7
"Alabama","01","2020 Week 17 ending April 25, 2020","2020/17",2020,17,2020-04-25,"Diseases of the genitourinary system","N00-N99",19,18.4571428571429,7
"Alabama","01","2020 Week 18 ending May 02, 2020","2020/18",2020,18,2020-05-02,"Diseases of the genitourinary system","N00-N99",23,17.7285714285714,7
"Alabama","01","2020 Week 19 ending May 09, 2020","2020/19",2020,19,2020-05-09,"Diseases of the genitourinary system","N00-N99",19,19.2285714285714,7
