"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2020 Week 01 ending January 04, 2020","2020/01","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 01 ending January 04, 2020","2020/01","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 02 ending January 11, 2020","2020/02","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 02 ending January 11, 2020","2020/02","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 03 ending January 18, 2020","2020/03","Diseases of the circulatory system","I00-I99",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 03 ending January 18, 2020","2020/03","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 04 ending January 25, 2020","2020/04","Diseases of the circulatory system","I00-I99",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 04 ending January 25, 2020","2020/04","Diseases of the genitourinary system","N00-N99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 05 ending February 01, 2020","2020/05","Diseases of the circulatory system","I00-I99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 05 ending February 01, 2020","2020/05","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 06 ending February 08, 2020","2020/06","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 06 ending February 08, 2020","2020/06","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 07 ending February 15, 2020","2020/07","Diseases of the circulatory system","I00-I99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 07 ending February 15, 2020","2020/07","Diseases of the genitourinary system","N00-N99",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 08 ending February 22, 2020","2020/08","Diseases of the circulatory system","I00-I99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 08 ending February 22, 2020","2020/08","Diseases of the genitourinary system","N00-N99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 09 ending February 29, 2020","2020/09","Diseases of the circulatory system","I00-I99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 09 ending February 29, 2020","2020/09","Diseases of the genitourinary system","N00-N99",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 10 ending March 07, 2020","2020/10","Diseases of the circulatory system","I00-I99",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 10 ending March 07, 2020","2020/10","Diseases of the genitourinary system","N00-N99",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 11 ending March 14, 2020","2020/11","Diseases of the circulatory system","I00-I99",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 11 ending March 14, 2020","2020/11","Diseases of the genitourinary system","N00-N99",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 12 ending March 21, 2020","2020/12","Diseases of the circulatory system","I00-I99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 12 ending March 21, 2020","2020/12","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 13 ending March 28, 2020","2020/13","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 13 ending March 28, 2020","2020/13","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 14 ending April 04, 2020","2020/14","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 14 ending April 04, 2020","2020/14","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 15 ending April 11, 2020","2020/15","Diseases of the circulatory system","I00-I99",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 15 ending April 11, 2020","2020/15","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 16 ending April 18, 2020","2020/16","Diseases of the circulatory system","I00-I99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 16 ending April 18, 2020","2020/16","Diseases of the genitourinary system","N00-N99",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
