"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Sunday","1","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Monday","2","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Tuesday","3","Renal failure","N17-N19",Suppressed,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Wednesday","4","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Thursday","5","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Friday","6","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jan., 2009","2009/01","Saturday","7","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Sunday","1","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Monday","2","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Tuesday","3","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Wednesday","4","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Thursday","5","Renal failure","N17-N19",Suppressed,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Friday","6","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Feb., 2009","2009/02","Saturday","7","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Sunday","1","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Monday","2","Renal failure","N17-N19",26,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Thursday","5","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Friday","6","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Mar., 2009","2009/03","Saturday","7","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Sunday","1","Renal failure","N17-N19",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Monday","2","Renal failure","N17-N19",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Tuesday","3","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Wednesday","4","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Thursday","5","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Friday","6","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04","Saturday","7","Renal failure","N17-N19",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Sunday","1","Renal failure","N17-N19",Suppressed,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Monday","2","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Tuesday","3","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Wednesday","4","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Thursday","5","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Friday","6","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05","Saturday","7","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Sunday","1","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Tuesday","3","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Wednesday","4","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Thursday","5","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Friday","6","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jun., 2009","2009/06","Saturday","7","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Sunday","1","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
