"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2022 Week 01 ending January 08, 2022","2022/01","Renal failure","N17-N19",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 02 ending January 15, 2022","2022/02","Renal failure","N17-N19",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 03 ending January 22, 2022","2022/03","Renal failure","N17-N19",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 04 ending January 29, 2022","2022/04","Renal failure","N17-N19",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 05 ending February 05, 2022","2022/05","Renal failure","N17-N19",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 06 ending February 12, 2022","2022/06","Renal failure","N17-N19",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 07 ending February 19, 2022","2022/07","Renal failure","N17-N19",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 08 ending February 26, 2022","2022/08","Renal failure","N17-N19",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 09 ending March 05, 2022","2022/09","Renal failure","N17-N19",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 10 ending March 12, 2022","2022/10","Renal failure","N17-N19",48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 11 ending March 19, 2022","2022/11","Renal failure","N17-N19",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 12 ending March 26, 2022","2022/12","Renal failure","N17-N19",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 13 ending April 02, 2022","2022/13","Renal failure","N17-N19",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 14 ending April 09, 2022","2022/14","Renal failure","N17-N19",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 15 ending April 16, 2022","2022/15","Renal failure","N17-N19",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 16 ending April 23, 2022","2022/16","Renal failure","N17-N19",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 17 ending April 30, 2022","2022/17","Renal failure","N17-N19",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 18 ending May 07, 2022","2022/18","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 19 ending May 14, 2022","2022/19","Renal failure","N17-N19",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 20 ending May 21, 2022","2022/20","Renal failure","N17-N19",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 21 ending May 28, 2022","2022/21","Renal failure","N17-N19",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 22 ending June 04, 2022","2022/22","Renal failure","N17-N19",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 23 ending June 11, 2022","2022/23","Renal failure","N17-N19",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 24 ending June 18, 2022","2022/24","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 25 ending June 25, 2022","2022/25","Renal failure","N17-N19",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 26 ending July 02, 2022","2022/26","Renal failure","N17-N19",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 27 ending July 09, 2022","2022/27","Renal failure","N17-N19",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 28 ending July 16, 2022","2022/28","Renal failure","N17-N19",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 29 ending July 23, 2022","2022/29","Renal failure","N17-N19",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 30 ending July 30, 2022","2022/30","Renal failure","N17-N19",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 31 ending August 06, 2022","2022/31","Renal failure","N17-N19",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 32 ending August 13, 2022","2022/32","Renal failure","N17-N19",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 33 ending August 20, 2022","2022/33","Renal failure","N17-N19",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 34 ending August 27, 2022","2022/34","Renal failure","N17-N19",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 35 ending September 03, 2022","2022/35","Renal failure","N17-N19",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 36 ending September 10, 2022","2022/36","Renal failure","N17-N19",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 37 ending September 17, 2022","2022/37","Renal failure","N17-N19",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 38 ending September 24, 2022","2022/38","Renal failure","N17-N19",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 39 ending October 01, 2022","2022/39","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 40 ending October 08, 2022","2022/40","Renal failure","N17-N19",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 41 ending October 15, 2022","2022/41","Renal failure","N17-N19",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 42 ending October 22, 2022","2022/42","Renal failure","N17-N19",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 43 ending October 29, 2022","2022/43","Renal failure","N17-N19",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 44 ending November 05, 2022","2022/44","Renal failure","N17-N19",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 45 ending November 12, 2022","2022/45","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
