"state","date","temp","deaths","Ni","rr_i","ac_i"
"Alabama",2018-01-06,0.0285714285714285,34,31.25,1.27862937334324,6.80976684761239
"Alabama",2018-01-13,9.77142857142857,32,30.125,1.18264049355202,4.65233931888238
"Alabama",2018-01-20,1.28571428571429,30,29.75,1.26581875044876,6.24742509387456
"Alabama",2018-01-27,10.1,32,29.75,1.17953209388128,4.52813435147251
"Alabama",2018-02-03,9.02857142857143,24,29.125,1.18969840875983,4.6440056693775
"Alabama",2018-02-10,12.5,39,29.5,1.15707368432232,4.00464875339575
"Alabama",2018-02-17,17.4714285714286,21,27.625,1.11190372725034,2.78022313400751
"Alabama",2018-02-24,20.5285714285714,38,28.25,1.08500683560464,2.21329767428859
"Alabama",2018-03-03,15.5714285714286,25,28.375,1.1289549437738,3.24113601677504
"Alabama",2018-03-10,11.7142857142857,29,27.875,1.16437865828147,3.93519330417711
"Alabama",2018-03-17,11.5857142857143,30,27.875,1.16557840074857,3.95983480639496
"Alabama",2018-03-24,14.8142857142857,27,26.875,1.13582242845621,3.21373101403004
"Alabama",2018-03-31,16.4571428571429,27,27.25,1.12097396222174,2.9407823746493
"Alabama",2018-04-07,16.5857142857143,24,28.5,1.11982013158613,3.04948415721719
"Alabama",2018-04-14,16.4857142857143,26,28.75,1.12071745271473,3.09679014736633
"Alabama",2018-04-21,14.9571428571429,39,28.875,1.13452348684765,3.42378604564526
"Alabama",2018-04-28,17.1142857142857,21,28.125,1.11508906998791,2.90279958841759
"Alabama",2018-05-05,20.1571428571429,29,29.75,1.088239641695,2.4122713783313
"Alabama",2018-05-12,23.1428571428571,22,28.875,1.06252291446999,1.69911550210799
"Alabama",2018-05-19,25.7142857142857,30,28.875,1.04086215979849,1.13357455939196
"Alabama",2018-05-26,24.2,37,28.125,1.05356389976339,1.4298939828743
"Alabama",2018-06-02,24.7428571428571,26,28.375,1.04899272046924,1.3252412683024
"Alabama",2018-06-09,25.4,27,28.375,1.04348571555914,1.18248593209496
"Alabama",2018-06-16,25.4285714285714,33,28.25,1.04324693748267,1.17108034540078
"Alabama",2018-06-23,27.9285714285714,34,28.125,1.02256402198825,0.620609668219765
"Alabama",2018-06-30,28.6571428571429,22,27.375,1.01661395685616,0.4473744097944
"Alabama",2018-07-07,28.8285714285714,22,28.375,1.01521898059306,0.425364953357876
"Alabama",2018-07-14,29.1285714285714,24,28,1.01278237649286,0.353389385624456
"Alabama",2018-07-21,27.6285714285714,39,27.75,1.02502415927591,0.677467368571087
