"state","date","tmean_C"
"Alabama",2017-12-31,4.3
"Alabama",2018-01-01,-2.9
"Alabama",2018-01-02,-2.2
"Alabama",2018-01-03,1
"Alabama",2018-01-04,-0.8
"Alabama",2018-01-05,-0.7
"Alabama",2018-01-06,1.5
"Alabama",2018-01-07,3
"Alabama",2018-01-08,7.2
"Alabama",2018-01-09,12.8
"Alabama",2018-01-10,16.2
"Alabama",2018-01-11,18.4
"Alabama",2018-01-12,10.6
"Alabama",2018-01-13,0.2
"Alabama",2018-01-14,0.2
"Alabama",2018-01-15,3.6
"Alabama",2018-01-16,2.4
"Alabama",2018-01-17,-4.7
"Alabama",2018-01-18,-2.2
"Alabama",2018-01-19,2.3
"Alabama",2018-01-20,7.4
"Alabama",2018-01-21,11.1
"Alabama",2018-01-22,14.8
"Alabama",2018-01-23,9.7
"Alabama",2018-01-24,6.4
"Alabama",2018-01-25,6
"Alabama",2018-01-26,9.4
"Alabama",2018-01-27,13.3
"Alabama",2018-01-28,14.4
"Alabama",2018-01-29,12
"Alabama",2018-01-30,4.5
"Alabama",2018-01-31,6.5
"Alabama",2018-02-01,13.5
"Alabama",2018-02-02,5.8
"Alabama",2018-02-03,6.5
"Alabama",2018-02-04,11.8
"Alabama",2018-02-05,8.6
"Alabama",2018-02-06,14.8
"Alabama",2018-02-07,14.8
"Alabama",2018-02-08,8.7
"Alabama",2018-02-09,11.8
"Alabama",2018-02-10,17
"Alabama",2018-02-11,18.4
"Alabama",2018-02-12,13.2
"Alabama",2018-02-13,15.8
"Alabama",2018-02-14,15.8
"Alabama",2018-02-15,19.9
"Alabama",2018-02-16,20.3
"Alabama",2018-02-17,18.9
"Alabama",2018-02-18,16.8
"Alabama",2018-02-19,20.3
"Alabama",2018-02-20,20.9
"Alabama",2018-02-21,22.2
"Alabama",2018-02-22,21.6
"Alabama",2018-02-23,20.9
"Alabama",2018-02-24,21
"Alabama",2018-02-25,17.2
"Alabama",2018-02-26,16
"Alabama",2018-02-27,14.5
"Alabama",2018-02-28,18.6
"Alabama",2018-03-01,18.9
"Alabama",2018-03-02,12.5
"Alabama",2018-03-03,11.3
"Alabama",2018-03-04,11.7
"Alabama",2018-03-05,15.9
"Alabama",2018-03-06,15.3
"Alabama",2018-03-07,8.7
"Alabama",2018-03-08,7.2
"Alabama",2018-03-09,8.9
"Alabama",2018-03-10,14.3
"Alabama",2018-03-11,13.7
"Alabama",2018-03-12,9.2
"Alabama",2018-03-13,8.1
"Alabama",2018-03-14,7.7
"Alabama",2018-03-15,9.7
"Alabama",2018-03-16,13.5
"Alabama",2018-03-17,19.2
"Alabama",2018-03-18,19.6
"Alabama",2018-03-19,20.5
"Alabama",2018-03-20,14.9
"Alabama",2018-03-21,9.3
"Alabama",2018-03-22,9.2
"Alabama",2018-03-23,12.6
"Alabama",2018-03-24,17.6
"Alabama",2018-03-25,19.8
"Alabama",2018-03-26,11.7
"Alabama",2018-03-27,15.7
"Alabama",2018-03-28,19.6
"Alabama",2018-03-29,19.4
"Alabama",2018-03-30,15.3
"Alabama",2018-03-31,13.7
"Alabama",2018-04-01,17.2
"Alabama",2018-04-02,18.4
"Alabama",2018-04-03,21.5
"Alabama",2018-04-04,15.6
"Alabama",2018-04-05,12.4
"Alabama",2018-04-06,16.7
"Alabama",2018-04-07,14.3
"Alabama",2018-04-08,10.9
"Alabama",2018-04-09,16.2
"Alabama",2018-04-10,15.9
"Alabama",2018-04-11,14.2
"Alabama",2018-04-12,16.9
"Alabama",2018-04-13,19
"Alabama",2018-04-14,22.3
"Alabama",2018-04-15,13.2
"Alabama",2018-04-16,9.4
"Alabama",2018-04-17,14.9
"Alabama",2018-04-18,19.4
"Alabama",2018-04-19,17.2
"Alabama",2018-04-20,14
"Alabama",2018-04-21,16.6
"Alabama",2018-04-22,18.4
"Alabama",2018-04-23,17.8
"Alabama",2018-04-24,16.5
"Alabama",2018-04-25,16.7
"Alabama",2018-04-26,16.2
"Alabama",2018-04-27,16.3
"Alabama",2018-04-28,17.9
"Alabama",2018-04-29,16.5
"Alabama",2018-04-30,17
"Alabama",2018-05-01,20.1
"Alabama",2018-05-02,21.4
"Alabama",2018-05-03,21.7
"Alabama",2018-05-04,22.2
"Alabama",2018-05-05,22.2
"Alabama",2018-05-06,20.9
"Alabama",2018-05-07,21.5
"Alabama",2018-05-08,22.4
"Alabama",2018-05-09,23.2
"Alabama",2018-05-10,24
"Alabama",2018-05-11,24.7
"Alabama",2018-05-12,25.3
"Alabama",2018-05-13,26.2
"Alabama",2018-05-14,26.9
"Alabama",2018-05-15,25.3
"Alabama",2018-05-16,24.9
"Alabama",2018-05-17,25.2
"Alabama",2018-05-18,25
"Alabama",2018-05-19,26.5
"Alabama",2018-05-20,25.7
"Alabama",2018-05-21,22.6
"Alabama",2018-05-22,23.8
"Alabama",2018-05-23,24.3
"Alabama",2018-05-24,24.6
"Alabama",2018-05-25,24
"Alabama",2018-05-26,24.4
"Alabama",2018-05-27,25.1
"Alabama",2018-05-28,23.6
"Alabama",2018-05-29,23.4
"Alabama",2018-05-30,24.7
"Alabama",2018-05-31,25.1
"Alabama",2018-06-01,26.1
"Alabama",2018-06-02,25.2
"Alabama",2018-06-03,27.1
"Alabama",2018-06-04,24.3
"Alabama",2018-06-05,23
"Alabama",2018-06-06,24.9
"Alabama",2018-06-07,25.8
"Alabama",2018-06-08,26.5
"Alabama",2018-06-09,26.2
"Alabama",2018-06-10,25.6
"Alabama",2018-06-11,25.6
"Alabama",2018-06-12,25.3
"Alabama",2018-06-13,26.3
"Alabama",2018-06-14,24.4
"Alabama",2018-06-15,25.2
"Alabama",2018-06-16,25.6
"Alabama",2018-06-17,26
"Alabama",2018-06-18,27.7
"Alabama",2018-06-19,28.7
"Alabama",2018-06-20,29.6
"Alabama",2018-06-21,27.4
"Alabama",2018-06-22,27.6
"Alabama",2018-06-23,28.5
"Alabama",2018-06-24,29.7
"Alabama",2018-06-25,28.3
"Alabama",2018-06-26,28.4
"Alabama",2018-06-27,29.2
"Alabama",2018-06-28,27.5
"Alabama",2018-06-29,28.7
"Alabama",2018-06-30,28.8
"Alabama",2018-07-01,28.4
"Alabama",2018-07-02,27
"Alabama",2018-07-03,29.9
"Alabama",2018-07-04,29.5
"Alabama",2018-07-05,30
"Alabama",2018-07-06,29.5
"Alabama",2018-07-07,27.5
"Alabama",2018-07-08,27.1
"Alabama",2018-07-09,28.1
"Alabama",2018-07-10,30
"Alabama",2018-07-11,30.3
"Alabama",2018-07-12,30.6
"Alabama",2018-07-13,29.9
"Alabama",2018-07-14,27.9
"Alabama",2018-07-15,27.6
"Alabama",2018-07-16,26.5
"Alabama",2018-07-17,27.7
"Alabama",2018-07-18,28
"Alabama",2018-07-19,27.5
"Alabama",2018-07-20,27.7
"Alabama",2018-07-21,28.4
"Alabama",2018-07-22,28.7
"Alabama",2018-07-23,26.5
"Alabama",2018-07-24,26.8
"Alabama",2018-07-25,28
"Alabama",2018-07-26,29.3
"Alabama",2018-07-27,30.1
"Alabama",2018-07-28,29.7
"Alabama",2018-07-29,29.8
"Alabama",2018-07-30,27.7
"Alabama",2018-07-31,25.5
"Alabama",2018-08-01,23.9
"Alabama",2018-08-02,24.2
"Alabama",2018-08-03,25.6
"Alabama",2018-08-04,26.1
"Alabama",2018-08-05,27.6
"Alabama",2018-08-06,28.6
"Alabama",2018-08-07,27.8
"Alabama",2018-08-08,27.8
"Alabama",2018-08-09,26.6
"Alabama",2018-08-10,26.2
"Alabama",2018-08-11,27.1
"Alabama",2018-08-12,28.7
"Alabama",2018-08-13,28.6
"Alabama",2018-08-14,28
"Alabama",2018-08-15,27.7
"Alabama",2018-08-16,27.3
"Alabama",2018-08-17,26.8
"Alabama",2018-08-18,26.1
"Alabama",2018-08-19,25.4
"Alabama",2018-08-20,25
"Alabama",2018-08-21,26.4
"Alabama",2018-08-22,26
"Alabama",2018-08-23,25.3
"Alabama",2018-08-24,26.3
"Alabama",2018-08-25,27.7
"Alabama",2018-08-26,28
"Alabama",2018-08-27,28.5
"Alabama",2018-08-28,28.8
"Alabama",2018-08-29,26.5
"Alabama",2018-08-30,26.6
"Alabama",2018-08-31,26
"Alabama",2018-09-01,28.5
"Alabama",2018-09-02,28.6
"Alabama",2018-09-03,28.1
"Alabama",2018-09-04,27.5
"Alabama",2018-09-05,26.2
"Alabama",2018-09-06,27.4
"Alabama",2018-09-07,29.1
"Alabama",2018-09-08,28.1
"Alabama",2018-09-09,28.3
"Alabama",2018-09-10,26.8
"Alabama",2018-09-11,26.8
"Alabama",2018-09-12,28.2
"Alabama",2018-09-13,28
"Alabama",2018-09-14,29.7
"Alabama",2018-09-15,31.1
"Alabama",2018-09-16,30.5
"Alabama",2018-09-17,30.6
"Alabama",2018-09-18,29.7
"Alabama",2018-09-19,30.3
"Alabama",2018-09-20,30.2
"Alabama",2018-09-21,29.1
"Alabama",2018-09-22,28.9
"Alabama",2018-09-23,28.4
"Alabama",2018-09-24,27
"Alabama",2018-09-25,26.7
"Alabama",2018-09-26,25.3
"Alabama",2018-09-27,24.4
"Alabama",2018-09-28,24.6
"Alabama",2018-09-29,25.4
"Alabama",2018-09-30,25.9
"Alabama",2018-10-01,26.1
"Alabama",2018-10-02,26.3
"Alabama",2018-10-03,26.6
"Alabama",2018-10-04,27.5
"Alabama",2018-10-05,27.7
"Alabama",2018-10-06,27.8
"Alabama",2018-10-07,27.6
"Alabama",2018-10-08,27.8
"Alabama",2018-10-09,26.9
"Alabama",2018-10-10,24.5
"Alabama",2018-10-11,23.3
"Alabama",2018-10-12,18.2
"Alabama",2018-10-13,19.8
"Alabama",2018-10-14,23.4
