"temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
-8,1.26832293480082,1.18945504987903,1.35242022563641,1.26832293480082,1.18945504987903,1.35242022563641
-7.9,1.26802452069127,1.18981274959837,1.35137750508815,1.26802452069127,1.18981274959837,1.35137750508815
-7.8,1.26772592676544,1.19016755548515,1.3503384611574,1.26772592676544,1.19016755548515,1.3503384611574
-7.7,1.26742701858478,1.190519208972,1.34930309005749,1.26742701858478,1.190519208972,1.34930309005749
-7.6,1.26712766183792,1.19086745107029,1.34827138818162,1.26712766183792,1.19086745107029,1.34827138818162
-7.5,1.26682772234101,1.19121202241869,1.34724335205512,1.26682772234101,1.19121202241869,1.34724335205512
-7.4,1.26652706603831,1.1915526633355,1.34621897828443,1.26652706603831,1.1915526633355,1.34621897828443
-7.3,1.26622555900286,1.19188911387494,1.34519826350251,1.26622555900286,1.19188911387494,1.34519826350251
-7.2,1.26592306743734,1.19222111388761,1.3441812043106,1.26592306743734,1.19222111388761,1.3441812043106
-7.1,1.265619457675,1.1925484030852,1.34316779721613,1.265619457675,1.1925484030852,1.34316779721613
-7,1.2653145961808,1.1928707211097,1.34215803856666,1.2653145961808,1.1928707211097,1.34215803856666
-6.9,1.26500834955265,1.19318780760718,1.34115192447957,1.26500834955265,1.19318780760718,1.34115192447957
-6.8,1.26470058452282,1.19349940230647,1.34014945076752,1.26470058452282,1.19349940230647,1.34014945076752
-6.7,1.26439116795947,1.19380524510263,1.33915061285937,1.26439116795947,1.19380524510263,1.33915061285937
-6.6,1.26407996686831,1.19410507614569,1.33815540571642,1.26407996686831,1.19410507614569,1.33815540571642
-6.5,1.26376684839443,1.19439863593456,1.33716382374392,1.26376684839443,1.19439863593456,1.33716382374392
-6.4,1.26345167982426,1.19468566541634,1.33617586069758,1.26345167982426,1.19468566541634,1.33617586069758
-6.3,1.26313432858765,1.19496590609122,1.33519150958503,1.26313432858765,1.19496590609122,1.33519150958503
-6.2,1.26281466226013,1.19523910012302,1.33421076256209,1.26281466226013,1.19523910012302,1.33421076256209
-6.1,1.26249254856524,1.19550499045552,1.33323361082368,1.26249254856524,1.19550499045552,1.33323361082368
-6,1.26216785537707,1.19576332093467,1.33226004448934,1.26216785537707,1.19576332093467,1.33226004448934
-5.9,1.26184045072291,1.19601383643677,1.33129005248324,1.26184045072291,1.19601383643677,1.33129005248324
-5.8,1.26151020278602,1.19625628300267,1.33032362240867,1.26151020278602,1.19625628300267,1.33032362240867
-5.7,1.26117697990859,1.1964904079781,1.32936074041679,1.26117697990859,1.1964904079781,1.32936074041679
-5.6,1.26084065059475,1.19671596016005,1.32840139106992,1.26084065059475,1.19671596016005,1.32840139106992
-5.5,1.2605010835138,1.19693268994926,1.32744555719907,1.2605010835138,1.19693268994926,1.32744555719907
-5.4,1.26015814750357,1.19714034950881,1.32649321975588,1.26015814750357,1.19714034950881,1.32649321975588
-5.3,1.25981171157382,1.19733869292867,1.32554435765913,1.25981171157382,1.19733869292867,1.32554435765913
-5.2,1.25946164490993,1.19752747639621,1.32459894763567,1.25946164490993,1.19752747639621,1.32459894763567
-5.1,1.25910781687657,1.19770645837242,1.32365696405616,1.25910781687657,1.19770645837242,1.32365696405616
-5,1.25875009702166,1.19787539977385,1.32271837876558,1.25875009702166,1.19787539977385,1.32271837876558
-4.9,1.25838835508028,1.19803406415979,1.3217831609089,1.25838835508028,1.19803406415979,1.3217831609089
-4.8,1.25802246097892,1.19818221792472,1.32085127675204,1.25802246097892,1.19818221792472,1.32085127675204
-4.7,1.25765228483969,1.19831963049556,1.31992268949844,1.25765228483969,1.19831963049556,1.31992268949844
-4.6,1.25727769698475,1.19844607453332,1.31899735910173,1.25727769698475,1.19844607453332,1.31899735910173
