"cluster","period","state","n_obs","n_years","n_strata","centering_temp_c","term","coefficient"
"cluster_1","2018-2021","Alabama",207,4,48,30.7,"b1",-0.431273795545087
"cluster_1","2018-2021","Alabama",207,4,48,30.7,"b2",-0.361528102554189
"cluster_1","2018-2021","Alabama",207,4,48,30.7,"b3",-1.86457414886575
"cluster_1","2018-2021","Alabama",207,4,48,30.7,"b4",-2.11772540771325
"cluster_1","2018-2021","Arizona",196,4,47,29.1,"b1",-0.0733283042169914
"cluster_1","2018-2021","Arizona",196,4,47,29.1,"b2",-0.267774773526875
"cluster_1","2018-2021","Arizona",196,4,47,29.1,"b3",0.142676570739102
"cluster_1","2018-2021","Arizona",196,4,47,29.1,"b4",-0.205982376505872
"cluster_1","2018-2021","Florida",207,4,48,26.9,"b1",-0.583864789930099
"cluster_1","2018-2021","Florida",207,4,48,26.9,"b2",-0.585688276879109
"cluster_1","2018-2021","Florida",207,4,48,26.9,"b3",4.85830324338282
"cluster_1","2018-2021","Florida",207,4,48,26.9,"b4",10.2246421224714
"cluster_1","2018-2021","Louisiana",206,4,48,29.3,"b1",-0.327859378168751
"cluster_1","2018-2021","Louisiana",206,4,48,29.3,"b2",-0.0271464933253751
"cluster_1","2018-2021","Louisiana",206,4,48,29.3,"b3",-5.01197806824896
"cluster_1","2018-2021","Louisiana",206,4,48,29.3,"b4",-7.56599692039696
"cluster_1","2018-2021","Mississippi",204,4,48,15.3,"b1",-0.0614632947886503
"cluster_1","2018-2021","Mississippi",204,4,48,15.3,"b2",0.0983893966072889
"cluster_1","2018-2021","Mississippi",204,4,48,15.3,"b3",-0.418286428179178
"cluster_1","2018-2021","Mississippi",204,4,48,15.3,"b4",-0.419382982518508
"cluster_1","2018-2021","Texas",207,4,48,22.2,"b1",-0.550868784155326
"cluster_1","2018-2021","Texas",207,4,48,22.2,"b2",-0.20246957488134
"cluster_1","2018-2021","Texas",207,4,48,22.2,"b3",-0.773609879997542
"cluster_1","2018-2021","Texas",207,4,48,22.2,"b4",-0.257920315681211
"cluster_1","2022-2025","Alabama",206,4,48,28.7,"b1",-0.384871242560552
"cluster_1","2022-2025","Alabama",206,4,48,28.7,"b2",-0.431864266461761
"cluster_1","2022-2025","Alabama",206,4,48,28.7,"b3",-0.56623877084642
"cluster_1","2022-2025","Alabama",206,4,48,28.7,"b4",0.0732026974517346
"cluster_1","2022-2025","Arizona",194,4,46,36.6,"b1",-0.268859995633955
"cluster_1","2022-2025","Arizona",194,4,46,36.6,"b2",-0.138918753448768
"cluster_1","2022-2025","Arizona",194,4,46,36.6,"b3",-0.218188028620788
"cluster_1","2022-2025","Arizona",194,4,46,36.6,"b4",-0.358017562618868
"cluster_1","2022-2025","Florida",208,4,48,28.8,"b1",-0.37576359042689
"cluster_1","2022-2025","Florida",208,4,48,28.8,"b2",-0.445431733950919
"cluster_1","2022-2025","Florida",208,4,48,28.8,"b3",-0.762195602616848
"cluster_1","2022-2025","Florida",208,4,48,28.8,"b4",0.343108844133388
"cluster_1","2022-2025","Louisiana",208,4,48,4.4,"b1",0.0239424697609772
"cluster_1","2022-2025","Louisiana",208,4,48,4.4,"b2",0.0692158300459367
"cluster_1","2022-2025","Louisiana",208,4,48,4.4,"b3",0.292986882978321
"cluster_1","2022-2025","Louisiana",208,4,48,4.4,"b4",0.366546320332337
"cluster_1","2022-2025","Mississippi",204,4,48,13.9,"b1",0.0215996863511031
"cluster_1","2022-2025","Mississippi",204,4,48,13.9,"b2",-0.189452242099725
"cluster_1","2022-2025","Mississippi",204,4,48,13.9,"b3",0.483388517500935
"cluster_1","2022-2025","Mississippi",204,4,48,13.9,"b4",2.7292313791792
"cluster_1","2022-2025","Texas",206,4,48,30.4,"b1",-0.067643096430661
"cluster_1","2022-2025","Texas",206,4,48,30.4,"b2",-0.113991707043263
"cluster_1","2022-2025","Texas",206,4,48,30.4,"b3",-0.0853040235051926
"cluster_1","2022-2025","Texas",206,4,48,30.4,"b4",-0.09404062727163
"cluster_2","2018-2021","Arkansas",202,4,48,-1,"b1",-0.535541836670276
"cluster_2","2018-2021","Arkansas",202,4,48,-1,"b2",0.219091940357238
"cluster_2","2018-2021","Arkansas",202,4,48,-1,"b3",1.92428138789559
"cluster_2","2018-2021","Arkansas",202,4,48,-1,"b4",-0.404106637471234
"cluster_2","2018-2021","California",208,4,48,28.2,"b1",-0.402876166233788
"cluster_2","2018-2021","California",208,4,48,28.2,"b2",-0.209443563385573
"cluster_2","2018-2021","California",208,4,48,28.2,"b3",-0.29630628108026
"cluster_2","2018-2021","California",208,4,48,28.2,"b4",-0.331492170989342
"cluster_2","2018-2021","Georgia",208,4,48,28.2,"b1",-0.795625172415058
"cluster_2","2018-2021","Georgia",208,4,48,28.2,"b2",-0.386696290272686
